Package	Version	Repository_or_component
R	4.4.3	R
Bioconductor	3.20	Bioconductor
limma	3.62.1	Bioconductor
statmod	1.5.2	CRAN
readxl	1.4.5	CRAN
openxlsx	4.2.8	CRAN
dplyr	1.1.4	CRAN
tidyr	1.3.1	CRAN
purrr	1.0.4	CRAN
stringr	1.5.1	CRAN
readr	2.1.5	CRAN
tibble	3.2.1	CRAN
ggplot2	3.5.2	CRAN
ggrepel	0.9.6	CRAN
patchwork	1.3.0	CRAN
igraph	2.1.4	CRAN
ggraph	2.2.1	CRAN
scales	1.3.0	CRAN
svglite	2.1.3	CRAN
sessioninfo	1.2.3	CRAN
AnnotationDbi	1.68.0	Bioconductor
org.Mm.eg.db	3.20.0	Bioconductor
GO.db	3.20.0	Bioconductor
KEGGREST	1.46.0	Bioconductor
