Panel,Panel_type,Layer,Comparison
P01,Differential_volcano,Cardiac_Proteome,Female_E_vs_M
P02,Differential_volcano,Cardiac_Proteome,Female_M_vs_L
P03,Differential_volcano,Cardiac_Proteome,Female_E_vs_L
P04,Differential_volcano,Cardiac_Proteome,Male_E_vs_M
P05,Differential_volcano,Cardiac_Proteome,Male_M_vs_L
P06,Differential_volcano,Cardiac_Proteome,Male_E_vs_L
P07,Differential_volcano,Cardiac_Metabolome,Female_E_vs_M
P08,Differential_volcano,Cardiac_Metabolome,Female_M_vs_L
P09,Differential_volcano,Cardiac_Metabolome,Female_E_vs_L
P10,Differential_volcano,Cardiac_Metabolome,Male_E_vs_M
P11,Differential_volcano,Cardiac_Metabolome,Male_M_vs_L
P12,Differential_volcano,Cardiac_Metabolome,Male_E_vs_L
P13,Differential_volcano,Serum_Metabolome,Female_E_vs_M
P14,Differential_volcano,Serum_Metabolome,Female_M_vs_L
P15,Differential_volcano,Serum_Metabolome,Female_E_vs_L
P16,Differential_volcano,Serum_Metabolome,Male_E_vs_M
P17,Differential_volcano,Serum_Metabolome,Male_M_vs_L
P18,Differential_volcano,Serum_Metabolome,Male_E_vs_L
P19,Differential_volcano,Urine_Metabolome,Female_E_vs_M
P20,Differential_volcano,Urine_Metabolome,Female_M_vs_L
P21,Differential_volcano,Urine_Metabolome,Female_E_vs_L
P22,Differential_volcano,Urine_Metabolome,Male_E_vs_M
P23,Differential_volcano,Urine_Metabolome,Male_M_vs_L
P24,Differential_volcano,Urine_Metabolome,Male_E_vs_L
P25,Shared_unique_UpSet,Cardiac_Proteome,Female and Male age contrasts
P26,Shared_unique_UpSet,Cardiac_Metabolome,Female and Male age contrasts
P27,Shared_unique_UpSet,Serum_Metabolome,Female and Male age contrasts
P28,Shared_unique_UpSet,Urine_Metabolome,Female and Male age contrasts
