Feature_ID	Term_ID	Term_name
C00022	mmu00010	Glycolysis / Gluconeogenesis
C00024	mmu00010	Glycolysis / Gluconeogenesis
C00031	mmu00010	Glycolysis / Gluconeogenesis
C00033	mmu00010	Glycolysis / Gluconeogenesis
C00036	mmu00010	Glycolysis / Gluconeogenesis
C00068	mmu00010	Glycolysis / Gluconeogenesis
C00074	mmu00010	Glycolysis / Gluconeogenesis
C00084	mmu00010	Glycolysis / Gluconeogenesis
C00085	mmu00010	Glycolysis / Gluconeogenesis
C00103	mmu00010	Glycolysis / Gluconeogenesis
C00111	mmu00010	Glycolysis / Gluconeogenesis
C00118	mmu00010	Glycolysis / Gluconeogenesis
C00186	mmu00010	Glycolysis / Gluconeogenesis
C00197	mmu00010	Glycolysis / Gluconeogenesis
C00221	mmu00010	Glycolysis / Gluconeogenesis
C00236	mmu00010	Glycolysis / Gluconeogenesis
C00267	mmu00010	Glycolysis / Gluconeogenesis
C00354	mmu00010	Glycolysis / Gluconeogenesis
C00469	mmu00010	Glycolysis / Gluconeogenesis
C00631	mmu00010	Glycolysis / Gluconeogenesis
C00668	mmu00010	Glycolysis / Gluconeogenesis
C01159	mmu00010	Glycolysis / Gluconeogenesis
C01172	mmu00010	Glycolysis / Gluconeogenesis
C01451	mmu00010	Glycolysis / Gluconeogenesis
C05125	mmu00010	Glycolysis / Gluconeogenesis
C06186	mmu00010	Glycolysis / Gluconeogenesis
C06187	mmu00010	Glycolysis / Gluconeogenesis
C06188	mmu00010	Glycolysis / Gluconeogenesis
C15972	mmu00010	Glycolysis / Gluconeogenesis
C15973	mmu00010	Glycolysis / Gluconeogenesis
C16255	mmu00010	Glycolysis / Gluconeogenesis
C00022	mmu00020	Citrate cycle (TCA cycle)
C00024	mmu00020	Citrate cycle (TCA cycle)
C00026	mmu00020	Citrate cycle (TCA cycle)
C00036	mmu00020	Citrate cycle (TCA cycle)
C00042	mmu00020	Citrate cycle (TCA cycle)
C00068	mmu00020	Citrate cycle (TCA cycle)
C00074	mmu00020	Citrate cycle (TCA cycle)
