Feature_ID	Term_ID	Term_name
103988	mmu00010	Glycolysis / Gluconeogenesis
106557	mmu00010	Glycolysis / Gluconeogenesis
110695	mmu00010	Glycolysis / Gluconeogenesis
11522	mmu00010	Glycolysis / Gluconeogenesis
11529	mmu00010	Glycolysis / Gluconeogenesis
11532	mmu00010	Glycolysis / Gluconeogenesis
115487111	mmu00010	Glycolysis / Gluconeogenesis
11669	mmu00010	Glycolysis / Gluconeogenesis
11670	mmu00010	Glycolysis / Gluconeogenesis
11671	mmu00010	Glycolysis / Gluconeogenesis
11674	mmu00010	Glycolysis / Gluconeogenesis
11676	mmu00010	Glycolysis / Gluconeogenesis
12183	mmu00010	Glycolysis / Gluconeogenesis
13382	mmu00010	Glycolysis / Gluconeogenesis
13806	mmu00010	Glycolysis / Gluconeogenesis
13807	mmu00010	Glycolysis / Gluconeogenesis
13808	mmu00010	Glycolysis / Gluconeogenesis
14120	mmu00010	Glycolysis / Gluconeogenesis
14121	mmu00010	Glycolysis / Gluconeogenesis
14377	mmu00010	Glycolysis / Gluconeogenesis
14378	mmu00010	Glycolysis / Gluconeogenesis
14433	mmu00010	Glycolysis / Gluconeogenesis
14447	mmu00010	Glycolysis / Gluconeogenesis
14751	mmu00010	Glycolysis / Gluconeogenesis
15275	mmu00010	Glycolysis / Gluconeogenesis
15277	mmu00010	Glycolysis / Gluconeogenesis
16828	mmu00010	Glycolysis / Gluconeogenesis
16832	mmu00010	Glycolysis / Gluconeogenesis
16833	mmu00010	Glycolysis / Gluconeogenesis
17330	mmu00010	Glycolysis / Gluconeogenesis
18534	mmu00010	Glycolysis / Gluconeogenesis
18597	mmu00010	Glycolysis / Gluconeogenesis
18598	mmu00010	Glycolysis / Gluconeogenesis
18641	mmu00010	Glycolysis / Gluconeogenesis
18642	mmu00010	Glycolysis / Gluconeogenesis
18648	mmu00010	Glycolysis / Gluconeogenesis
18655	mmu00010	Glycolysis / Gluconeogenesis
18663	mmu00010	Glycolysis / Gluconeogenesis
18746	mmu00010	Glycolysis / Gluconeogenesis
18770	mmu00010	Glycolysis / Gluconeogenesis
212032	mmu00010	Glycolysis / Gluconeogenesis
216019	mmu00010	Glycolysis / Gluconeogenesis
21991	mmu00010	Glycolysis / Gluconeogenesis
226265	mmu00010	Glycolysis / Gluconeogenesis
230163	mmu00010	Glycolysis / Gluconeogenesis
235339	mmu00010	Glycolysis / Gluconeogenesis
26876	mmu00010	Glycolysis / Gluconeogenesis
319625	mmu00010	Glycolysis / Gluconeogenesis
353204	mmu00010	Glycolysis / Gluconeogenesis
433182	mmu00010	Glycolysis / Gluconeogenesis
56012	mmu00010	Glycolysis / Gluconeogenesis
56421	mmu00010	Glycolysis / Gluconeogenesis
56752	mmu00010	Glycolysis / Gluconeogenesis
58810	mmu00010	Glycolysis / Gluconeogenesis
60525	mmu00010	Glycolysis / Gluconeogenesis
621603	mmu00010	Glycolysis / Gluconeogenesis
66681	mmu00010	Glycolysis / Gluconeogenesis
67689	mmu00010	Glycolysis / Gluconeogenesis
68263	mmu00010	Glycolysis / Gluconeogenesis
68401	mmu00010	Glycolysis / Gluconeogenesis
68738	mmu00010	Glycolysis / Gluconeogenesis
72141	mmu00010	Glycolysis / Gluconeogenesis
72157	mmu00010	Glycolysis / Gluconeogenesis
72535	mmu00010	Glycolysis / Gluconeogenesis
73458	mmu00010	Glycolysis / Gluconeogenesis
74551	mmu00010	Glycolysis / Gluconeogenesis
79459	mmu00010	Glycolysis / Gluconeogenesis
104112	mmu00020	Citrate cycle (TCA cycle)
11428	mmu00020	Citrate cycle (TCA cycle)
11429	mmu00020	Citrate cycle (TCA cycle)
12974	mmu00020	Citrate cycle (TCA cycle)
13382	mmu00020	Citrate cycle (TCA cycle)
14194	mmu00020	Citrate cycle (TCA cycle)
15926	mmu00020	Citrate cycle (TCA cycle)
15929	mmu00020	Citrate cycle (TCA cycle)
170718	mmu00020	Citrate cycle (TCA cycle)
17448	mmu00020	Citrate cycle (TCA cycle)
17449	mmu00020	Citrate cycle (TCA cycle)
18293	mmu00020	Citrate cycle (TCA cycle)
18534	mmu00020	Citrate cycle (TCA cycle)
18563	mmu00020	Citrate cycle (TCA cycle)
18597	mmu00020	Citrate cycle (TCA cycle)
18598	mmu00020	Citrate cycle (TCA cycle)
20916	mmu00020	Citrate cycle (TCA cycle)
20917	mmu00020	Citrate cycle (TCA cycle)
235339	mmu00020	Citrate cycle (TCA cycle)
239017	mmu00020	Citrate cycle (TCA cycle)
243996	mmu00020	Citrate cycle (TCA cycle)
269951	mmu00020	Citrate cycle (TCA cycle)
56451	mmu00020	Citrate cycle (TCA cycle)
66052	mmu00020	Citrate cycle (TCA cycle)
66925	mmu00020	Citrate cycle (TCA cycle)
66945	mmu00020	Citrate cycle (TCA cycle)
67680	mmu00020	Citrate cycle (TCA cycle)
67834	mmu00020	Citrate cycle (TCA cycle)
68263	mmu00020	Citrate cycle (TCA cycle)
71832	mmu00020	Citrate cycle (TCA cycle)
74551	mmu00020	Citrate cycle (TCA cycle)
78920	mmu00020	Citrate cycle (TCA cycle)
100198	mmu00030	Pentose phosphate pathway
110208	mmu00030	Pentose phosphate pathway
110639	mmu00030	Pentose phosphate pathway
11674	mmu00030	Pentose phosphate pathway
11676	mmu00030	Pentose phosphate pathway
14120	mmu00030	Pentose phosphate pathway
14121	mmu00030	Pentose phosphate pathway
14380	mmu00030	Pentose phosphate pathway
14381	mmu00030	Pentose phosphate pathway
14751	mmu00030	Pentose phosphate pathway
18641	mmu00030	Pentose phosphate pathway
18642	mmu00030	Pentose phosphate pathway
19139	mmu00030	Pentose phosphate pathway
19733	mmu00030	Pentose phosphate pathway
19895	mmu00030	Pentose phosphate pathway
21351	mmu00030	Pentose phosphate pathway
21881	mmu00030	Pentose phosphate pathway
230163	mmu00030	Pentose phosphate pathway
232449	mmu00030	Pentose phosphate pathway
235582	mmu00030	Pentose phosphate pathway
328099	mmu00030	Pentose phosphate pathway
353204	mmu00030	Pentose phosphate pathway
56421	mmu00030	Pentose phosphate pathway
66171	mmu00030	Pentose phosphate pathway
66646	mmu00030	Pentose phosphate pathway
66681	mmu00030	Pentose phosphate pathway
71336	mmu00030	Pentose phosphate pathway
72157	mmu00030	Pentose phosphate pathway
74419	mmu00030	Pentose phosphate pathway
74637	mmu00030	Pentose phosphate pathway
75456	mmu00030	Pentose phosphate pathway
75731	mmu00030	Pentose phosphate pathway
79459	mmu00030	Pentose phosphate pathway
83553	mmu00030	Pentose phosphate pathway
100559	mmu00040	Pentose and glucuronate interconversions
100727	mmu00040	Pentose and glucuronate interconversions
102448	mmu00040	Pentose and glucuronate interconversions
110006	mmu00040	Pentose and glucuronate interconversions
112417	mmu00040	Pentose and glucuronate interconversions
11677	mmu00040	Pentose and glucuronate interconversions
11997	mmu00040	Pentose and glucuronate interconversions
14187	mmu00040	Pentose and glucuronate interconversions
16591	mmu00040	Pentose and glucuronate interconversions
20322	mmu00040	Pentose and glucuronate interconversions
216558	mmu00040	Pentose and glucuronate interconversions
22235	mmu00040	Pentose and glucuronate interconversions
22236	mmu00040	Pentose and glucuronate interconversions
22238	mmu00040	Pentose and glucuronate interconversions
231396	mmu00040	Pentose and glucuronate interconversions
243085	mmu00040	Pentose and glucuronate interconversions
394430	mmu00040	Pentose and glucuronate interconversions
394432	mmu00040	Pentose and glucuronate interconversions
394433	mmu00040	Pentose and glucuronate interconversions
394434	mmu00040	Pentose and glucuronate interconversions
394435	mmu00040	Pentose and glucuronate interconversions
394436	mmu00040	Pentose and glucuronate interconversions
552899	mmu00040	Pentose and glucuronate interconversions
58810	mmu00040	Pentose and glucuronate interconversions
613123	mmu00040	Pentose and glucuronate interconversions
66646	mmu00040	Pentose and glucuronate interconversions
67861	mmu00040	Pentose and glucuronate interconversions
67880	mmu00040	Pentose and glucuronate interconversions
68631	mmu00040	Pentose and glucuronate interconversions
70984	mmu00040	Pentose and glucuronate interconversions
71755	mmu00040	Pentose and glucuronate interconversions
71773	mmu00040	Pentose and glucuronate interconversions
72094	mmu00040	Pentose and glucuronate interconversions
75578	mmu00040	Pentose and glucuronate interconversions
75847	mmu00040	Pentose and glucuronate interconversions
94215	mmu00040	Pentose and glucuronate interconversions
94284	mmu00040	Pentose and glucuronate interconversions
110119	mmu00051	Fructose and mannose metabolism
11674	mmu00051	Fructose and mannose metabolism
11676	mmu00051	Fructose and mannose metabolism
11677	mmu00051	Fructose and mannose metabolism
11997	mmu00051	Fructose and mannose metabolism
14120	mmu00051	Fructose and mannose metabolism
14121	mmu00051	Fructose and mannose metabolism
14187	mmu00051	Fructose and mannose metabolism
15275	mmu00051	Fructose and mannose metabolism
15277	mmu00051	Fructose and mannose metabolism
16548	mmu00051	Fructose and mannose metabolism
170768	mmu00051	Fructose and mannose metabolism
18639	mmu00051	Fructose and mannose metabolism
18640	mmu00051	Fructose and mannose metabolism
18641	mmu00051	Fructose and mannose metabolism
18642	mmu00051	Fructose and mannose metabolism
20322	mmu00051	Fructose and mannose metabolism
212032	mmu00051	Fructose and mannose metabolism
216019	mmu00051	Fructose and mannose metabolism
218138	mmu00051	Fructose and mannose metabolism
21991	mmu00051	Fructose and mannose metabolism
22122	mmu00051	Fructose and mannose metabolism
225913	mmu00051	Fructose and mannose metabolism
230163	mmu00051	Fructose and mannose metabolism
234730	mmu00051	Fructose and mannose metabolism
270198	mmu00051	Fructose and mannose metabolism
29858	mmu00051	Fructose and mannose metabolism
319801	mmu00051	Fructose and mannose metabolism
331026	mmu00051	Fructose and mannose metabolism
353204	mmu00051	Fructose and mannose metabolism
54128	mmu00051	Fructose and mannose metabolism
56421	mmu00051	Fructose and mannose metabolism
66065	mmu00051	Fructose and mannose metabolism
67861	mmu00051	Fructose and mannose metabolism
69064	mmu00051	Fructose and mannose metabolism
69080	mmu00051	Fructose and mannose metabolism
75540	mmu00051	Fructose and mannose metabolism
79459	mmu00051	Fructose and mannose metabolism
103988	mmu00052	Galactose metabolism
11605	mmu00052	Galactose metabolism
11677	mmu00052	Galactose metabolism
11997	mmu00052	Galactose metabolism
12091	mmu00052	Galactose metabolism
14187	mmu00052	Galactose metabolism
14377	mmu00052	Galactose metabolism
14378	mmu00052	Galactose metabolism
14387	mmu00052	Galactose metabolism
14430	mmu00052	Galactose metabolism
14595	mmu00052	Galactose metabolism
14635	mmu00052	Galactose metabolism
15275	mmu00052	Galactose metabolism
15277	mmu00052	Galactose metabolism
16770	mmu00052	Galactose metabolism
18641	mmu00052	Galactose metabolism
18642	mmu00052	Galactose metabolism
212032	mmu00052	Galactose metabolism
216019	mmu00052	Galactose metabolism
216558	mmu00052	Galactose metabolism
226413	mmu00052	Galactose metabolism
232714	mmu00052	Galactose metabolism
319625	mmu00052	Galactose metabolism
53418	mmu00052	Galactose metabolism
56421	mmu00052	Galactose metabolism
66681	mmu00052	Galactose metabolism
67861	mmu00052	Galactose metabolism
68401	mmu00052	Galactose metabolism
69983	mmu00052	Galactose metabolism
72157	mmu00052	Galactose metabolism
74246	mmu00052	Galactose metabolism
76051	mmu00052	Galactose metabolism
100559	mmu00053	Ascorbate and aldarate metabolism
100727	mmu00053	Ascorbate and aldarate metabolism
110006	mmu00053	Ascorbate and aldarate metabolism
110695	mmu00053	Ascorbate and aldarate metabolism
112417	mmu00053	Ascorbate and aldarate metabolism
11669	mmu00053	Ascorbate and aldarate metabolism
11671	mmu00053	Ascorbate and aldarate metabolism
16591	mmu00053	Ascorbate and aldarate metabolism
