Term_ID	Term_name	Map_ID
mmu01100	Metabolic pathways	map01100
mmu01200	Carbon metabolism	map01200
mmu01210	2-Oxocarboxylic acid metabolism	map01210
mmu01212	Fatty acid metabolism	map01212
mmu01230	Biosynthesis of amino acids	map01230
mmu01232	Nucleotide metabolism	map01232
mmu01250	Biosynthesis of nucleotide sugars	map01250
mmu01240	Biosynthesis of cofactors	map01240
mmu01320	Sulfur cycle	map01320
mmu00010	Glycolysis / Gluconeogenesis	map00010
mmu00020	Citrate cycle (TCA cycle)	map00020
mmu00030	Pentose phosphate pathway	map00030
mmu00040	Pentose and glucuronate interconversions	map00040
mmu00051	Fructose and mannose metabolism	map00051
mmu00052	Galactose metabolism	map00052
mmu00053	Ascorbate and aldarate metabolism	map00053
mmu00500	Starch and sucrose metabolism	map00500
mmu00620	Pyruvate metabolism	map00620
mmu00630	Glyoxylate and dicarboxylate metabolism	map00630
mmu00640	Propanoate metabolism	map00640
mmu00650	Butanoate metabolism	map00650
mmu00660	C5-Branched dibasic acid metabolism	map00660
mmu00562	Inositol phosphate metabolism	map00562
mmu00190	Oxidative phosphorylation	map00190
mmu00910	Nitrogen metabolism	map00910
mmu00920	Sulfur metabolism	map00920
mmu00061	Fatty acid biosynthesis	map00061
mmu00062	Fatty acid elongation	map00062
mmu00071	Fatty acid degradation	map00071
mmu00100	Steroid biosynthesis	map00100
mmu00120	Primary bile acid biosynthesis	map00120
mmu00140	Steroid hormone biosynthesis	map00140
mmu00561	Glycerolipid metabolism	map00561
mmu00564	Glycerophospholipid metabolism	map00564
mmu00565	Ether lipid metabolism	map00565
mmu00600	Sphingolipid metabolism	map00600
mmu00590	Arachidonic acid metabolism	map00590
mmu00591	Linoleic acid metabolism	map00591
mmu00592	alpha-Linolenic acid metabolism	map00592
mmu01040	Biosynthesis of unsaturated fatty acids	map01040
mmu00230	Purine metabolism	map00230
mmu00240	Pyrimidine metabolism	map00240
mmu00250	Alanine, aspartate and glutamate metabolism	map00250
mmu00260	Glycine, serine and threonine metabolism	map00260
mmu00270	Cysteine and methionine metabolism	map00270
mmu00280	Valine, leucine and isoleucine degradation	map00280
mmu00290	Valine, leucine and isoleucine biosynthesis	map00290
mmu00310	Lysine degradation	map00310
mmu00220	Arginine biosynthesis	map00220
mmu00330	Arginine and proline metabolism	map00330
mmu00340	Histidine metabolism	map00340
mmu00350	Tyrosine metabolism	map00350
mmu00360	Phenylalanine metabolism	map00360
mmu00380	Tryptophan metabolism	map00380
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	map00400
mmu00410	beta-Alanine metabolism	map00410
mmu00430	Taurine and hypotaurine metabolism	map00430
mmu00440	Phosphonate and phosphinate metabolism	map00440
